frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,19569.336659,1,1370.69,530.88,300.88,281.75,0.9026,0.4802,-1.0000,160.6042,0.0000,0,0.2583,-0.0346,0.4802
1,19569.359130,1,1369.94,528.56,301.88,280.38,0.8099,0.4784,-1.0000,166.6487,0.0000,0,0.2569,-0.0360,0.4784
2,19569.390469,1,1375.81,525.00,314.38,284.25,0.8544,0.4609,-1.0000,187.6641,0.0000,0,0.2512,-0.0369,0.4609
3,19569.435732,1,1386.25,521.47,335.50,289.69,0.8549,0.4345,-1.0000,191.1439,0.0000,0,0.2431,-0.0369,0.4345
4,19569.468992,1,1372.75,521.94,310.00,287.38,0.8606,0.4666,-1.0000,183.4736,0.0000,0,0.2523,-0.0393,0.4666
5,19569.490243,1,1386.31,521.56,338.62,286.62,0.8812,0.4305,-1.0000,199.0731,0.0000,0,0.2409,-0.0365,0.4305
6,19569.511348,1,1386.75,523.94,340.00,283.38,0.8245,0.4289,-1.0000,196.6124,0.0000,0,0.2402,-0.0350,0.4289
7,19569.531732,1,1374.38,521.56,315.00,286.62,0.8856,0.4596,-1.0000,172.2172,0.0000,0,0.2496,-0.0390,0.4596
8,19569.547816,1,1382.75,520.69,331.75,288.88,0.9076,0.4385,-1.0000,191.4172,0.0000,0,0.2432,-0.0377,0.4385
9,19569.563964,1,1399.25,519.91,367.00,286.81,0.8267,0.4003,-1.0000,209.9586,0.0000,0,0.2311,-0.0349,0.4003
10,19569.579503,1,1379.31,520.38,324.12,289.25,0.8840,0.4479,-1.0000,186.2173,0.0000,0,0.2463,-0.0387,0.4479
11,19569.595477,1,1391.75,520.44,349.00,291.12,0.9053,0.4191,-1.0000,205.0321,0.0000,0,0.2376,-0.0362,0.4191
12,19569.611624,1,1397.69,521.50,361.12,287.25,0.8056,0.4064,-1.0000,213.3263,0.0000,0,0.2337,-0.0345,0.4064
13,19569.627348,1,1386.69,521.38,338.88,289.00,0.9023,0.4303,-1.0000,203.8872,0.0000,0,0.2410,-0.0366,0.4303
14,19569.643011,1,1382.19,520.06,328.88,290.88,0.9093,0.4422,-1.0000,195.2001,0.0000,0,0.2449,-0.0384,0.4422
15,19569.659074,1,1378.88,520.53,323.75,285.69,0.8344,0.4483,-1.0000,196.4830,0.0000,0,0.2463,-0.0387,0.4483
16,19569.674961,1,1379.44,520.81,325.62,285.62,0.9112,0.4459,-1.0000,195.4185,0.0000,0,0.2453,-0.0383,0.4459
17,19569.690880,1,1381.81,519.03,330.38,288.06,0.9155,0.4401,-1.0000,200.1268,0.0000,0,0.2435,-0.0389,0.4401
18,19569.706653,1,1378.50,521.56,327.50,283.12,0.8895,0.4431,-1.0000,194.8582,0.0000,0,0.2432,-0.0376,0.4431
19,19569.722555,1,1378.25,518.84,327.75,285.44,0.9118,0.4427,-1.0000,199.1251,0.0000,0,0.2428,-0.0392,0.4427
20,19569.740327,1,1379.25,518.59,331.00,284.94,0.9310,0.4386,-1.0000,198.6642,0.0000,0,0.2411,-0.0390,0.4386
21,19569.757479,1,1370.94,519.97,319.88,274.81,0.8880,0.4517,-1.0000,187.5861,0.0000,0,0.2432,-0.0393,0.4517
22,19569.773499,1,1375.06,516.59,326.38,283.44,0.9241,0.4438,-1.0000,190.5397,0.0000,0,0.2414,-0.0407,0.4438
23,19569.789250,1,1373.94,517.88,325.12,278.00,0.9299,0.4452,-1.0000,193.4172,0.0000,0,0.2415,-0.0400,0.4452
24,19569.804871,1,1363.81,518.88,305.62,271.25,0.8941,0.4708,-1.0000,173.0067,0.0000,0,0.2489,-0.0417,0.4708
25,19569.820891,1,1370.38,519.53,317.75,275.56,0.9073,0.4546,-1.0000,182.1436,0.0000,0,0.2444,-0.0398,0.4546
26,19569.836743,1,1370.88,520.28,317.00,279.06,0.9219,0.4558,-1.0000,186.2996,0.0000,0,0.2453,-0.0395,0.4558
27,19569.852582,1,1371.19,524.19,313.62,275.88,0.8475,0.4608,-1.0000,180.4537,0.0000,0,0.2482,-0.0374,0.4608
28,19569.868469,1,1377.19,527.72,323.12,274.69,0.9093,0.4488,-1.0000,185.9260,0.0000,0,0.2455,-0.0343,0.4488
29,19569.884053,1,1377.56,530.84,317.38,274.19,0.9236,0.4570,-1.0000,188.8115,0.0000,0,0.2502,-0.0329,0.4570
30,19569.899953,1,1383.94,535.69,321.38,271.88,0.8634,0.4530,-1.0000,185.1646,0.0000,0,0.2520,-0.0296,0.4530
31,19569.915201,1,1349.34,539.75,243.19,274.25,0.9236,0.5869,-1.0000,151.3209,0.0000,0,0.2985,-0.0351,0.5869
32,19569.931638,1,1390.94,548.56,316.38,273.88,0.9137,0.4620,-1.0000,184.4646,0.0000,0,0.2615,-0.0220,0.4620
33,19569.947930,1,1406.44,556.28,333.38,283.31,0.8812,0.4425,-1.0000,190.9963,0.0000,0,0.2599,-0.0164,0.4425
34,19569.964413,1,1403.69,565.56,314.38,290.88,0.8868,0.4685,-1.0000,182.5121,0.0000,0,0.2733,-0.0114,0.4685
35,19569.980172,1,1402.44,569.94,299.88,289.62,0.8903,0.4908,-1.0000,179.6652,0.0000,0,0.2855,-0.0090,0.4908
36,19569.995954,1,1430.25,583.50,336.75,274.00,0.8601,0.4445,-1.0000,188.6947,0.0000,0,0.2756,0.0002,0.4445
37,19570.013907,1,1432.94,587.69,330.12,279.38,0.8205,0.4542,-1.0000,192.0240,0.0000,0,0.2832,0.0028,0.4542
38,19570.029115,1,1437.25,600.03,323.00,279.19,0.8376,0.4654,-1.0000,190.7742,0.0000,0,0.2930,0.0108,0.4654
39,19570.045698,1,1395.19,603.97,221.12,282.56,0.7379,0.6627,-1.0000,139.3965,0.0000,0,0.3789,0.0189,0.6627
40,19570.061277,1,1436.62,615.25,286.00,276.00,0.7800,0.5254,-1.0000,174.1194,0.0000,0,0.3303,0.0232,0.5254
41,19570.076085,1,1381.50,622.56,158.88,272.38,0.6843,0.9150,1.1570,75.4135,0.5089,0,0.5059,0.0495,0.9150
42,19570.091673,1,1381.50,622.56,158.88,272.38,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
43,19570.110591,1,1381.50,622.56,158.88,272.38,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
44,19570.126957,1,1381.50,622.56,158.88,272.38,0.2000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
45,19570.142426,1,1381.50,622.56,158.88,272.38,0.1000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
46,19570.157582,1,1381.50,622.56,158.88,272.38,0.0000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
47,19570.176678,0,,,,,,,,,,,,,,
48,19570.191944,0,,,,,,,,,,,,,,
49,19570.207935,0,,,,,,,,,,,,,,
50,19570.229334,0,,,,,,,,,,,,,,
51,19570.246231,0,,,,,,,,,,,,,,
52,19570.266258,0,,,,,,,,,,,,,,
53,19570.286002,1,1426.06,615.12,308.38,227.50,0.6197,0.4842,-1.0000,153.8014,0.0000,0,0.2974,0.0213,0.4842
54,19570.301815,1,1405.66,595.47,290.06,237.94,0.8193,0.5084,-1.0000,147.8459,0.0000,0,0.2980,0.0086,0.5084
55,19570.317256,1,1382.27,568.75,263.53,226.00,0.8007,0.5519,-1.0000,133.2234,0.0000,0,0.3057,-0.0110,0.5519
56,19570.333006,1,1358.09,556.22,254.44,205.94,0.9050,0.5637,-1.0000,129.8335,0.0000,0,0.2935,-0.0209,0.5637
57,19570.349577,1,1358.09,556.22,254.44,205.94,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
58,19570.368556,1,1313.84,511.27,225.19,194.03,0.8233,0.6218,0.7377,118.2826,0.5218,0,0.2859,-0.0615,0.6218
59,19570.384075,1,1296.44,491.41,214.12,191.94,0.5117,0.6481,0.7955,109.6880,0.5294,0,0.2825,-0.0819,0.6481
60,19570.398027,1,1296.44,491.41,214.12,191.94,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
61,19570.415724,1,1266.84,452.70,194.69,173.41,0.9230,0.7026,0.8169,106.8154,0.3219,0,0.2777,-0.1261,0.7026
62,19570.431830,1,1250.78,433.78,183.06,167.06,0.9043,0.7418,0.8910,97.9270,0.7122,0,0.2767,-0.1525,0.7418
63,19570.447567,1,1239.19,419.50,176.62,160.88,0.8490,0.7649,0.8954,97.4521,0.3633,0,0.2731,-0.1722,0.7649
64,19570.463459,1,1228.00,406.31,172.25,157.75,0.8199,0.7805,0.9165,95.2018,0.6293,0,0.2667,-0.1899,0.7805
65,19570.479303,1,1218.44,394.95,164.25,151.03,0.8977,0.8153,0.9704,89.9155,0.9177,0,0.2679,-0.2111,0.8153
66,19570.497323,1,1208.00,379.47,156.00,157.56,0.8984,0.8549,1.0529,82.8754,0.9721,0,0.2686,-0.2396,0.8549
67,19570.511268,1,1208.00,379.47,156.00,157.56,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
68,19570.526794,1,1208.00,379.47,156.00,157.56,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
69,19570.544806,1,1208.00,379.47,156.00,157.56,0.2000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
70,19570.562565,1,1208.00,379.47,156.00,157.56,0.1000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
71,19570.577255,1,1208.00,379.47,156.00,157.56,0.0000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
72,19570.594534,0,,,,,,,,,,,,,,
73,19570.612999,1,1155.61,385.78,125.72,113.69,0.8289,1.0412,1.2398,70.3800,0.7365,2,0.2795,-0.3135,1.1544
74,19570.628309,1,1148.70,387.91,120.91,117.70,0.8998,1.0804,1.2750,68.4377,0.5760,2,0.2730,-0.3152,1.1734
75,19570.645853,1,1142.78,393.89,116.31,116.03,0.9377,1.1210,1.3212,66.0442,0.7966,2,0.2747,-0.3187,1.2236
76,19570.663099,1,1138.39,401.73,116.16,115.97,0.9353,1.1211,1.3166,66.2726,0.7715,2,0.2691,-0.3075,1.2317
77,19570.678386,1,1133.89,409.66,111.84,113.44,0.9377,1.1629,1.4143,61.6956,0.7097,2,0.2771,-0.3117,1.3055
78,19570.696434,1,1128.25,418.11,107.69,109.97,0.9497,1.2059,1.4481,60.2550,0.8248,2,0.2777,-0.3083,1.3577
79,19570.712409,1,1124.72,429.08,107.56,107.97,0.9485,1.2061,1.4214,61.3885,0.2822,2,0.2704,-0.2871,1.3541
80,19570.728383,1,1120.86,439.62,105.59,104.50,0.9536,1.2274,1.4284,61.0864,0.7794,2,0.2670,-0.2713,1.3736
81,19570.746220,1,1116.55,450.41,103.59,102.56,0.9529,1.2497,1.4629,59.6448,0.5725,2,0.2654,-0.2573,1.4086
82,19570.763116,1,1112.64,464.17,100.72,100.34,0.9515,1.2842,1.6106,54.1765,0.8387,2,0.2774,-0.2482,1.5156
83,19570.778501,1,1108.59,477.97,98.25,97.75,0.9508,1.3151,1.6225,53.7771,0.9412,2,0.2745,-0.2239,1.5469
84,19570.796456,1,1105.56,489.91,95.19,93.69,0.9446,1.3565,1.5980,54.6016,0.8036,2,0.2698,-0.1998,1.5565
85,19570.811915,1,1101.98,506.23,92.05,94.84,0.9417,1.4016,1.6552,52.7159,0.7428,2,0.2720,-0.1711,1.6155
86,19570.829374,1,1099.09,521.22,90.69,90.94,0.9417,1.4217,1.6655,52.3889,0.6727,2,0.2689,-0.1395,1.6357
87,19570.846649,1,1095.23,537.86,88.59,91.22,0.9474,1.4541,1.6752,52.0875,0.6483,2,0.2638,-0.1034,1.6578
88,19570.862396,1,1093.70,554.33,87.78,88.78,0.9466,1.4671,1.6890,51.6602,0.7579,2,0.2629,-0.0665,1.6746
89,19570.879260,1,1090.53,569.39,86.75,85.16,0.9433,1.4835,1.8191,47.9662,0.8050,2,0.2709,-0.0337,1.7747
90,19570.896460,1,1088.12,587.35,85.69,83.42,0.9417,1.5012,1.8036,48.3776,0.7326,2,0.2651,0.0101,1.7752
91,19570.911895,1,1084.92,605.27,82.53,88.34,0.9386,1.5576,1.8976,45.9808,0.5089,2,0.2702,0.0566,1.8644
92,19570.927409,1,1083.56,623.23,82.50,85.09,0.9377,1.5578,1.9847,43.9637,0.5421,2,0.2768,0.1065,1.9350
93,19570.948847,1,1080.98,642.92,83.86,83.97,0.9358,1.5318,1.9571,44.5839,0.7263,2,0.2672,0.1573,1.9158
94,19570.962490,1,1078.05,660.47,80.45,80.31,0.9417,1.5958,1.9204,45.4368,0.5113,2,0.2584,0.2027,1.9072
95,19570.979222,1,1075.19,679.33,77.75,80.91,0.9466,1.6504,1.9649,44.4078,0.6968,2,0.2575,0.2588,1.9577
96,19570.995489,1,1074.20,698.80,76.91,78.23,0.9425,1.6682,2.0777,41.9958,0.6014,2,0.2672,0.3263,2.0523
97,19571.011954,1,1072.76,719.88,75.70,75.12,0.9353,1.6943,2.0013,43.5994,0.5528,2,0.2568,0.3766,2.0032
98,19571.028242,1,1070.35,740.31,74.23,75.00,0.9377,1.7271,2.0537,42.4871,0.4387,2,0.2565,0.4438,2.0538
99,19571.046108,1,1069.12,761.96,74.50,76.77,0.9390,1.7206,2.0743,42.0660,0.4845,2,0.2551,0.5091,2.0705
100,19571.061598,1,1067.15,783.61,74.20,78.28,0.9305,1.7269,2.1503,40.5786,0.5891,2,0.2571,0.5882,2.1340
101,19571.078384,1,1064.51,803.73,72.48,74.72,0.9263,1.7671,2.2291,39.1436,0.5629,2,0.2582,0.6702,2.2096
102,19571.097767,1,1062.46,824.73,70.89,74.61,0.9358,1.8063,2.0529,42.5037,0.6286,2,0.2353,0.6856,2.0637
103,19571.115058,1,1061.98,842.08,72.11,72.41,0.9368,1.7756,2.0901,41.7476,0.6420,2,0.2364,0.7425,2.0852
104,19571.130732,1,1060.87,822.20,69.83,71.78,0.9315,1.8333,2.1610,40.3781,0.5585,2,0.2409,0.7082,2.1542
105,19571.146274,1,1061.64,803.17,71.78,71.09,0.9284,1.7836,2.3304,37.4426,0.4642,2,0.2573,0.6895,2.2791
106,19571.162076,1,1060.05,782.70,69.28,70.16,0.9329,1.8476,2.1885,39.8695,0.9218,2,0.2415,0.5985,2.1813
107,19571.178006,1,1058.40,763.21,66.39,67.77,0.9268,1.9275,2.3047,37.8599,0.4271,2,0.2487,0.5679,2.2936
108,19571.194183,1,1057.20,746.95,64.48,65.08,0.9294,1.9842,2.3515,37.1057,0.5066,2,0.2504,0.5281,2.3449
109,19571.212851,1,1056.79,732.52,65.05,65.34,0.9310,1.9669,2.3221,37.5759,0.5403,2,0.2462,0.4760,2.3179
110,19571.233022,1,1056.58,717.09,64.41,64.38,0.9263,1.9864,2.3336,37.3916,0.8113,2,0.2470,0.4295,2.3320
111,19571.249907,1,1056.75,702.57,64.06,65.27,0.9294,1.9971,2.4425,35.7234,0.6068,2,0.2572,0.3978,2.4228
112,19571.270885,1,1056.23,690.62,65.98,66.31,0.9377,1.9388,2.3991,36.3694,0.6295,2,0.2504,0.3509,2.3749
113,19571.286855,1,1055.51,679.21,65.55,65.05,0.9284,1.9515,2.4367,35.8088,0.6757,2,0.2516,0.3180,2.4082
114,19571.302655,1,1054.79,668.85,64.42,64.30,0.9263,1.9854,2.3994,36.3656,0.7005,2,0.2468,0.2810,2.3855
115,19571.318691,1,1054.20,658.47,65.98,62.00,0.9320,1.9382,2.3457,37.1979,0.4969,2,0.2393,0.2413,2.3314
116,19571.334674,1,1054.27,651.02,66.08,60.95,0.9274,1.9355,2.3186,37.6331,0.6687,2,0.2372,0.2153,2.3086
117,19571.350484,1,1052.60,642.31,63.05,58.20,0.9274,2.0281,2.5464,34.2659,0.4389,2,0.2525,0.2043,2.5130
118,19571.366024,1,1051.62,637.73,62.06,60.86,0.9155,2.0600,2.4974,34.9379,0.6603,2,0.2458,0.1860,2.4801
119,19571.381865,1,1050.88,630.27,59.92,64.91,0.9263,2.1334,2.6194,33.3113,0.4757,2,0.2545,0.1679,2.5944
120,19571.397678,1,1051.13,625.47,59.67,59.99,0.9247,2.1424,2.6398,33.0544,0.4857,2,0.2571,0.1518,2.6119
121,19571.413574,1,1051.08,621.93,60.34,58.05,0.9033,2.1185,2.5811,33.8051,0.5878,2,0.2517,0.1362,2.5584
122,19571.429303,1,1050.51,618.04,61.17,59.02,0.9279,2.0897,2.6277,33.2059,0.7593,2,0.2525,0.1240,2.5878
123,19571.445452,1,1050.35,616.91,61.48,60.00,0.9268,2.0790,2.6763,32.6031,0.6891,2,0.2554,0.1215,2.6226
124,19571.461065,1,1050.00,614.45,59.05,57.89,0.9080,2.1644,2.7167,32.1177,0.8116,2,0.2590,0.1148,2.6733
